mission_created_date,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_rd1,mission_count_rd2,mission_count_rd3,mission_count_rd4,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
2018-01-01,2229,1781,1019,22,393,55,129,466,459,67,591.0940919037199,560.0,192.78287109269564,509.1764705882353,489.0,118.18800451722969,668.6219512195122,612.0,291.7046761879941,905.5970149253732,803.0,339.0347286985237,842.2689999999999,791.417,164.1828128160801,799.7209302325581,788.0,308.67006006424793
2018-01-02,1240,1164,987,17,34,42,74,342,232,40,609.3820224719101,569.0,205.85133417088167,557.5294117647059,510.0,175.62179450706668,530.5384615384615,515.5,107.75833360598364,585.5714285714286,594.0,131.21225988015428,690.2709333333333,654.644,112.56120548805352,872.5277777777778,783.5,315.7925617608687
2018-01-03,1354,1279,1081,21,32,43,71,372,219,70,613.6663265306122,572.5,196.03768031411013,503.2352941176471,488.0,182.64635549736707,580.5833333333334,569.5,110.77313936960128,657.8888888888889,624.0,149.06589491107957,730.7864500000002,739.173,95.87851174298648,940.96875,971.0,283.2491761084735
2018-01-04,1308,1243,1053,18,30,35,59,317,242,47,612.727463312369,581.5,185.60201568715976,560.4285714285714,575.5,101.1112976155212,574.4166666666666,583.5,111.38024048732564,662.3478260869565,658.0,144.9208588712073,747.7604705882353,755.85,134.898659490707,803.2222222222222,871.0,320.0996639670133
2018-01-05,1269,1197,1033,22,38,33,79,355,237,54,600.7220480668757,573.0,185.61402698442336,477.3,446.5,80.16962280722439,541.9642857142857,528.5,92.69882820900568,640.6363636363636,584.5,200.9386415360113,707.3521250000001,709.355,111.39676452624946,799.2222222222222,804.0,252.47106968054976
2018-01-06,1172,1093,922,15,54,24,53,322,235,33,595.6176115802172,554.0,211.8517044191598,457.44444444444446,466.0,46.57818993668364,568.25,555.5,141.95972651948995,642.8,615.0,175.39854125921934,770.7242631578947,713.747,173.7284481980881,849.7058823529412,806.0,342.858346242636
2018-01-07,1094,1031,891,16,36,26,52,350,229,24,583.3550368550368,543.5,194.1530710527113,515.0769230769231,489.0,105.17957781691076,533.5357142857143,537.0,116.8726696001717,623.8333333333334,587.0,160.6410869719494,767.8128461538462,733.367,156.28268701184086,823.875,700.5,392.9958858618597
2018-01-08,1223,1166,1011,12,34,23,64,321,265,62,603.8666666666667,564.0,196.1895706439757,460.0,482.0,78.06663820096264,577.0357142857143,572.0,96.0017292062076,612.8333333333334,565.0,191.4620331682696,768.2608124999999,728.665,170.137824697202,742.578947368421,765.0,335.7365560788984
2018-01-09,1204,1124,967,17,39,40,77,305,237,48,605.1352272727273,568.0,197.86207980727207,572.0,583.0,127.54663012852538,581.0333333333333,564.0,109.7402837842944,624.2173913043479,591.0,157.08537242292488,762.6106470588236,760.28,124.6610006843265,863.3,812.5,349.52185566314296
2018-01-10,1206,1135,978,17,43,27,62,326,239,44,604.0384615384615,571.0,201.55798800368788,594.5,574.0,168.5457025443065,587.3888888888889,568.0,123.8012872718161,674.1724137931035,669.0,144.4487227272604,738.9447727272726,718.7465,154.94288100947816,890.3461538461538,775.0,435.90402084015625
