mission_created_month,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_rd1,mission_count_rd2,mission_count_rd3,mission_count_rd4,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
2018-01,40698,38114,32348,575,1399,1166,2297,10747,8015,1472,613.0043754700212,575.0,205.48094945100948,524.7880085653105,509.0,132.011038139471,608.2373913043479,573.0,198.17145435092183,688.8201634877385,644.5,218.9071151194156,884.4824105504592,740.6645,1080.247690734071,831.5272727272727,776.0,335.7204612617345
2018-02,37116,35023,30418,503,980,1097,2053,9971,7165,1409,624.057181581743,584.0,210.5868779507653,534.4162436548223,512.5,150.6922257817066,603.0767295597484,586.0,149.9628850787072,683.5610119047619,657.0,173.43262541012763,837.9705177777773,779.5495,310.5464260237948,810.9458563535911,741.0,325.5363415593446
2018-03,42455,39907,33561,584,1048,1481,2343,11370,8019,1490,642.9420376655354,597.0,227.8612415136496,533.0042194092827,510.5,141.46549487449957,607.9414634146342,589.0,147.9627431830768,679.5094066570188,650.0,180.1649754798293,826.5521205357144,763.5409999999999,305.339622557975,848.0181968569066,759.0,340.0853364854788
2018-04,38203,35598,30781,508,1183,1384,2238,9704,7871,1366,614.1310048361096,571.0,213.64680032291147,508.61070559610704,487.0,121.28303636329726,595.6371490280777,578.0,146.87324957281845,693.4496350364964,658.0,193.5344670347434,824.0304924731178,765.64,276.57644580522475,847.9253075571178,786.5,342.6262950465027
2018-05,39699,36684,31942,481,1342,1599,2144,9676,8787,1328,615.0872685666736,575.0,212.73644955128208,508.6217616580311,485.0,135.9207444504092,600.6976534296028,580.5,156.727473968562,703.2916666666666,659.0,214.4487771331661,818.9475574162678,756.1545,295.18602688401603,857.7087912087912,789.5,334.9552442949744
2018-06,37910,34945,30472,474,1267,1596,2283,9474,7953,1334,610.5843351548269,571.0,211.96222583782145,524.300518134715,505.0,150.9473731281081,602.7637088733799,580.0,155.56332826473394,697.3656207366985,671.0,199.51266450359947,900.8332983870968,763.155,2067.8805131023314,859.9451410658307,790.0,344.78394730826784
2018-07,38858,35541,31206,485,1405,1808,2387,9859,7913,1313,603.8999291031549,566.0,205.4320209613565,518.0591133004926,489.5,148.55134691354738,622.8019981834695,591.0,186.2439134712717,711.1039794608472,673.0,207.44165276749416,844.5378343313373,766.317,547.9865715377836,849.8133333333334,776.0,330.28429653191284
2018-08,39587,36472,31272,497,1523,1517,2265,9842,8337,1248,617.7317177021608,575.0,221.32331863843365,519.6835748792271,504.0,136.0868860427291,618.4716516023008,596.0,157.7682585771215,717.6427672955975,679.0,215.4348439138417,853.8753666666671,781.1385,271.3138546398867,830.1672131147541,754.0,324.1302691970964
2018-09,37768,34889,29173,403,1331,1458,2098,9360,8170,1278,609.4492880529963,567.0,217.1592385612612,527.407624633431,513.0,158.71013478310215,642.0777027027027,615.0,175.4977705319466,792.5290697674419,758.5,224.07479977267727,884.6888788546257,807.608,407.5821199683558,819.2880481513328,731.0,322.81357289194165
2018-10,37678,35011,30056,504,1357,1235,2182,9772,7933,1326,591.5966576662045,556.0,200.1437656478668,514.643956043956,492.0,147.76855877448634,621.7194244604317,604.0,150.36572599834864,794.3079136690648,764.0,205.81538167731333,845.5786666666668,802.63,234.1621760491861,820.0378486055777,735.0,325.3826745649371
2018-11,36796,34509,29506,454,1132,1075,2175,9624,7837,1318,598.795356451853,564.0,197.6212383333086,519.9443037974684,511.0,127.85374709567546,628.7625329815304,600.5,170.370841366013,783.2668759811617,755.0,187.3295562037376,854.3764022988502,800.37,259.3953319550409,800.9908883826879,704.5,330.80636756949445
2018-12,38987,36610,31148,497,1088,1217,2267,10492,7910,1382,604.636299285057,571.0,196.26748010446457,528.030303030303,504.0,142.10911799047045,621.4168975069252,603.0,158.07198062728233,774.112262521589,742.0,197.29070511156576,834.0083041095893,799.057,189.92810796664384,825.5260469867211,733.0,341.7037579035993
2019-01,39179,36596,30665,522,1287,1194,2305,10599,7949,1353,588.5750794160688,557.0,186.98465312811533,514.76008492569,493.0,138.5857434072403,624.4212253829322,594.0,185.7259367445964,755.5364741641338,729.5,191.8316487658365,816.0644963325184,783.67,196.4406085562544,817.6014344262295,729.5,338.3855970111715
2019-02,36418,34306,29017,491,946,1063,2254,10094,7366,1348,602.3587670348859,568.0,198.13862067192943,522.0698795180723,506.0,154.1153574898902,612.1786283891547,580.0,180.834999694223,756.3809523809524,724.0,193.01439554707883,824.415706231454,785.977,186.13509276116656,797.2265895953757,702.0,334.3598146230607
2019-03,39638,37045,31818,488,1081,1425,2246,10600,8066,1331,588.3179932101094,556.0,189.4281081846185,503.0095238095238,479.0,130.21161372251467,612.36,589.5,150.9534375717735,743.8528481012659,727.5,169.88173062678126,825.5873805104413,776.564,205.65782904272456,841.3126660761736,747.0,345.9606199519149
2019-04,39069,36262,31346,445,1379,1345,2170,10249,8197,1358,592.4500887852095,558.0,195.4051434332345,495.1585677749361,487.0,124.72273011433896,624.3622327790974,596.0,181.1074090192544,755.3114186851211,716.0,224.4778958545212,810.3005660377353,766.3605,188.97869216473453,838.3604436229206,748.5,350.5862559687397
2019-05,40219,36919,32215,489,1595,1591,2348,10215,8505,1594,587.4670969933752,554.0,195.76903122242388,501.3308823529412,477.5,143.51666368060089,611.4273858921161,592.0,172.21003717089562,749.2205438066466,717.0,219.64006383365853,806.8636307692308,751.447,223.1974977171719,844.4224066390042,747.0,366.8527681294453
2019-06,42722,38130,33344,440,1605,2668,2474,10541,8734,1512,607.5151833837256,570.0,209.07438060227307,515.7096774193549,502.5,132.0541284629167,632.8216159496327,593.0,184.6745140210164,800.2171344165436,760.0,224.2167203714816,899.0719039665968,820.96,345.2532565698324,863.4392004441977,790.0,365.5967113215573
2019-07,39940,35678,32113,410,1441,1807,2185,10137,8124,1505,595.0272438633027,557.0,204.6497256707628,508.1605633802817,490.0,140.08211723950765,611.4191419141914,590.0,167.96628603835478,773.2366310160428,737.0,210.97150532552365,841.8388281573505,798.173,227.57767056329143,877.3062544931704,788.0,373.1457056586618
2019-08,40946,36450,32779,461,1451,1823,2220,9952,8574,1439,601.3032098269572,563.0,207.62278307131984,513.6,495.0,133.9258617979864,637.0225225225225,609.5,180.32447751838032,785.1733668341709,758.5,213.4972112565185,849.9694717741941,807.1534999999999,205.29762823461635,854.9939393939394,772.5,366.50563922973777
2019-09,37994,34254,30770,451,1327,1430,2017,9415,8366,1456,607.824644549763,568.0,210.4644381847577,519.7766233766233,502.0,150.40601984720243,621.6122685185185,601.0,160.48252526477046,781.0824324324325,750.0,204.4764461048426,843.0689118852459,806.468,205.60627592005795,853.1508771929824,767.5,355.0164868361483
2019-10,39289,35658,31894,462,1211,1283,2179,10347,7928,1574,607.3393947758876,573.0,199.7032420273251,514.5572519083969,500.0,132.78397526172452,617.034749034749,592.0,167.92788117368906,774.9159779614325,745.0,201.5866233748236,847.9992443438912,817.4069999999999,216.8417475254169,819.5636722606121,726.0,345.27850238986514
2019-11,39187,35806,31920,459,1121,1152,2263,10572,8308,1614,609.7778968103121,574.0,198.9137603223477,525.6958762886597,506.0,135.67263870254675,613.16459197787,595.0,161.15551157419495,749.0642750373692,731.0,183.9413887228469,852.5598897058829,802.65,336.5799507187161,818.3238822246456,720.0,350.17690602008963
2019-12,40136,36400,32092,531,1417,1119,2282,10645,8428,1573,617.1819084126223,582.0,203.7535486295684,529.1166306695465,513.0,142.05428282271794,608.6632183908046,578.0,167.41401558900907,757.4285714285714,717.0,209.78416345876843,818.4310172786185,769.87,235.1413838910515,818.7727784026997,729.0,340.96158092013167
2020-01,40851,37103,32695,549,1588,1033,2304,11094,8151,1637,591.2646307009283,560.0,188.7606541924888,520.8113590263691,503.0,139.4451217667058,621.8702594810379,566.0,239.98027544181903,734.2630813953489,702.0,197.8478506999511,801.496401826484,744.342,283.20702529469224,819.0591133004926,746.0,326.13256547314955
2020-02,38142,34701,30570,538,1054,1322,2163,10575,7669,1665,602.5920060603875,568.0,198.09225149055365,508.16386554621846,493.0,134.60248858642134,588.6176470588235,564.0,148.70874145900524,735.3974151857835,708.0,189.09112474172625,796.7140423940149,768.263,192.62735736461664,861.6428571428571,784.5,356.656231901661
2020-03,39511,33172,29084,541,1172,1153,2046,9710,7467,1803,604.466610763836,570.0,198.00081756515863,507.7720430107527,486.0,131.73454758364295,581.1481481481482,570.0,139.23690520620076,706.5291411042945,675.5,181.96014336427493,785.7562328431378,742.047,296.0730683670291,844.4544456641054,755.0,353.654353915516
2020-04,34328,30082,25194,658,1375,1040,1725,8958,6667,1819,600.6598734120394,566.0,199.49633089738128,510.9465648854962,495.0,140.28126965253932,594.1923076923077,566.0,154.1260214014419,712.0750360750361,675.0,212.5317048708823,772.2267654867261,742.9549999999999,217.81820140413825,841.3940149625935,749.5,343.68450367525554
2020-05,36924,32982,28427,590,1245,1215,1549,9674,7622,1812,586.1100614260166,552.0,189.02291468651947,513.9800796812749,504.5,131.57806059345367,588.8112449799197,568.0,160.0720614597565,712.5504731861199,681.0,190.6654799709176,799.3091424731188,738.2964999999999,630.1057476350768,865.3037190082645,784.5,349.9617362842599
2020-06,39374,35142,30406,657,1388,1589,1786,10431,8219,2081,594.9586117777368,561.0,197.71398961181765,510.4738878143133,502.0,146.43583996988264,594.2171945701358,571.0,167.76493659551605,730.049399198932,695.0,203.843277497826,806.0916622222211,770.6279999999999,229.8754161923767,864.8599683544304,792.0,352.1315144873707
2020-07,39125,35002,30205,652,1400,1552,1870,10279,8288,2134,599.9872334145082,567.0,195.55546335717224,509.4519230769231,504.0,132.81362198629816,613.0315670800451,579.0,169.12854954447462,742.4622279129321,713.0,191.06517258256244,791.9905088105727,750.6485,195.21087626914965,890.6136939983094,823.0,358.78195950388306
2020-08,43407,38762,31895,718,1639,1797,1983,11565,9292,2473,634.1415158330656,596.0,212.08397889331903,530.1366120218579,510.0,144.43732226202226,637.267620020429,612.0,185.58420410544247,757.6611111111112,723.0,200.30089056675243,836.4695170454548,793.8934999999999,204.93677746266405,870.4472913616398,779.0,356.9296518092092
2020-09,39762,35839,30218,634,1273,1390,1738,10764,9455,2154,630.3546722506824,595.0,207.88313180710367,525.1333333333333,502.0,142.10412169054325,615.8653113087674,594.0,170.10984971698832,748.239625167336,721.0,191.40988859479032,824.2750699774256,775.073,228.826241272524,883.0406043437205,792.0,365.543520606616
