datum,Einsätze_potentiell_abgabefähig_an_KV,Fälle_an_KV_abgegeben,von_KV_an_Berliner_Feuerwehr_abgegeben,Aufwertungen_mit_Aufwertegründen
2024-01-01,278,157,84,65
2024-01-02,256,146,97,66
2024-01-03,239,115,99,84
2024-01-04,219,112,81,84
2024-01-05,242,122,78,89
2024-01-06,257,136,77,87
2024-01-07,284,162,81,87
2024-01-08,215,130,71,75
2024-01-09,220,110,70,72
2024-01-10,233,116,69,101
2024-01-11,201,100,60,79
2024-01-12,252,138,56,76
2024-01-13,253,136,54,83
2024-01-14,246,140,85,88
2024-01-15,245,142,84,52
2024-01-16,246,143,66,49
2024-01-17,258,156,68,72
2024-01-18,255,132,73,82
2024-01-19,241,134,73,80
2024-01-20,258,151,54,65
2024-01-21,251,139,84,88
2024-01-22,239,127,74,50
2024-01-23,242,142,64,47
2024-01-24,243,132,59,43
2024-01-25,232,108,66,75
2024-01-26,248,141,54,59
2024-01-27,276,154,77,74
2024-01-28,247,135,86,80
2024-01-29,232,118,68,60
2024-01-30,242,120,61,74
2024-01-31,249,134,64,76
2024-02-01,235,136,41,55
2024-02-02,254,138,51,64
2024-02-03,261,165,45,75
2024-02-04,271,165,50,74
2024-02-05,262,155,56,78
2024-02-06,243,142,65,53
2024-02-07,215,118,52,54
2024-02-08,225,123,54,68
2024-02-09,252,146,48,48
2024-02-10,274,156,58,80
2024-02-11,254,164,57,72
2024-02-12,263,146,53,57
2024-02-13,202,115,58,66
2024-02-14,251,141,50,61
2024-02-15,223,125,56,45
2024-02-16,241,143,49,65
2024-02-17,204,117,56,43
2024-02-18,226,136,65,58
2024-02-19,213,116,61,61
2024-02-20,218,108,41,73
2024-02-21,221,105,42,85
2024-02-22,249,134,53,63
2024-02-23,216,99,55,60
2024-02-24,234,137,50,72
2024-02-25,240,136,66,77
2024-02-26,222,114,62,73
2024-02-27,192,82,66,85
2024-02-28,224,105,62,70
2024-02-29,214,93,62,83
2024-03-01,249,102,51,61
2024-03-02,253,132,42,80
2024-03-03,223,120,64,94
2024-03-04,227,108,58,52
2024-03-05,176,86,35,58
2024-03-06,218,110,27,82
2024-03-07,217,95,40,74
2024-03-08,193,86,64,69
2024-03-09,224,115,56,64
2024-03-10,228,99,60,103
2024-03-11,219,123,48,63
2024-03-12,219,116,37,72
2024-03-13,235,122,31,78
2024-03-14,204,115,34,67
2024-03-15,229,115,57,84
2024-03-16,218,120,39,57
2024-03-17,209,115,54,67
2024-03-18,244,128,52,70
2024-03-19,205,100,69,84
2024-03-20,198,109,51,41
2024-03-21,193,101,41,69
2024-03-22,190,96,45,72
2024-03-23,215,94,39,93
2024-03-24,229,125,70,87
2024-03-25,189,74,53,92
2024-03-26,230,116,43,76
2024-03-27,231,118,45,86
2024-03-28,201,100,56,72
2024-03-29,201,107,63,77
2024-03-30,248,141,55,80
2024-03-31,218,105,76,101
2024-04-01,252,122,85,104
2024-04-02,203,96,60,62
2024-04-03,193,106,51,61
2024-04-04,216,99,57,91
2024-04-05,223,118,46,80
2024-04-06,282,142,67,107
2024-04-07,243,123,81,63
2024-04-08,216,104,54,60
2024-04-09,227,122,54,78
2024-04-10,217,106,51,51
2024-04-11,211,101,51,59
2024-04-12,257,130,43,58
2024-04-13,224,108,46,69
2024-04-14,253,118,61,108
2024-04-15,242,122,37,98
2024-04-16,214,112,40,84
2024-04-17,208,115,33,69
2024-04-18,213,105,45,82
2024-04-19,195,107,30,59
2024-04-20,187,93,63,73
2024-04-21,214,105,44,94
2024-04-22,223,105,39,92
2024-04-23,220,108,44,93
2024-04-24,220,112,51,70
2024-04-25,227,105,44,75
2024-04-26,225,107,38,80
2024-04-27,171,91,58,40
2024-04-28,239,151,72,62
2024-04-29,241,119,49,56
2024-04-30,216,92,60,51
2024-05-01,248,122,60,66
2024-05-02,252,133,58,53
2024-05-03,208,109,37,71
2024-05-04,209,112,56,64
2024-05-05,235,130,53,64
2024-05-06,214,106,51,71
2024-05-07,211,88,44,83
2024-05-08,204,96,37,68
2024-05-09,204,111,38,68
2024-05-10,261,131,56,114
2024-05-11,215,101,43,81
2024-05-12,212,97,44,89
2024-05-13,221,110,40,54
2024-05-14,206,98,48,85
2024-05-15,211,103,45,62
2024-05-16,203,99,45,83
2024-05-17,217,99,49,81
2024-05-18,209,111,57,84
2024-05-19,190,115,60,45
2024-05-20,220,117,58,86
2024-05-21,206,99,46,38
2024-05-22,225,107,54,69
2024-05-23,201,98,44,48
2024-05-24,197,93,41,72
2024-05-25,224,119,52,91
2024-05-26,202,99,50,68
2024-05-27,184,87,37,48
2024-05-28,178,81,49,77
2024-05-29,189,85,36,78
2024-05-30,169,74,48,61
2024-05-31,200,91,59,65
2024-06-01,189,72,53,85
2024-06-02,208,98,51,79
2024-06-03,197,87,42,85
2024-06-04,212,102,46,91
2024-06-05,188,89,49,63
2024-06-06,176,83,46,65
2024-06-07,189,74,24,72
2024-06-08,213,106,64,65
2024-06-09,193,86,57,60
2024-06-10,206,82,41,97
2024-06-11,221,105,43,100
2024-06-12,191,94,47,75
2024-06-13,206,93,46,83
2024-06-14,194,88,34,71
2024-06-15,245,112,67,114
2024-06-16,225,116,37,91
2024-06-17,183,91,46,77
2024-06-18,196,87,39,94
2024-06-19,183,90,50,76
2024-06-20,229,116,39,93
2024-06-21,209,85,58,50
2024-06-22,196,99,43,84
2024-06-23,189,108,55,63
2024-06-24,237,127,38,66
2024-06-25,218,98,36,57
2024-06-26,200,101,42,68
2024-06-27,222,115,76,62
2024-06-28,203,92,47,76
2024-06-29,251,103,46,81
2024-06-30,231,130,77,89
2024-07-01,221,110,36,89
2024-07-02,220,104,52,102
2024-07-03,185,79,35,77
2024-07-04,208,104,36,72
2024-07-05,200,85,44,88
2024-07-06,223,106,63,73
2024-07-07,211,113,52,79
2024-07-08,204,90,37,58
2024-07-09,237,108,42,88
