district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_std
11001,Tiergarten Süd,4095,3217,2482,36,328,203,1186,147,614.9594972067039,225.62748344067373,555.40625,148.55581320532954,600.0694980694981,119.30770505139564,723.3671875,156.10445829478988,811.0993888888889,167.64379387554914,858.9870967741936,336.70895727667795
11002,Regierungsviertel,4926,4293,3302,21,440,192,1447,225,622.6986111111111,191.7797491288114,519.8823529411765,139.66740956328232,604.6657458563536,112.81063675572283,748.1634349030471,158.5711490970109,804.960234432235,154.81226221548374,943.8450704225352,375.82050747767227
11003,Alexanderplatz,13833,11716,8843,94,850,479,4868,299,582.7554040144107,202.19477570522213,438.7916666666667,96.92118730853318,570.6089030206678,134.17954146352417,711.0864,154.6009925002143,770.1518838526912,171.6092763156143,954.8587896253603,422.52527400101064
11004,Brunnenstraße Süd,2616,2342,1842,27,138,136,1012,53,580.7057739557739,202.63125617165835,437.7391304347826,107.03874293973458,544.2115384615385,134.10086575286684,672.83,188.550400785476,740.9009836065576,141.28284171860028,921.8349514563107,438.23384609641744
12005,Moabit West,5544,5060,3984,43,245,239,1889,49,605.5310265942236,194.30754015533435,481.42857142857144,97.90369989832617,592.3565217391305,176.77898736490286,732.2222222222222,165.4575143495344,775.7248703703704,219.88359151545978,858.4947916666666,339.25625455613005
12006,Moabit Ost,8596,7883,5980,63,465,247,3206,224,592.3671175461993,203.85214668148086,480.51020408163265,108.57852812000853,546.7314285714285,179.76070335513467,715.3151862464183,173.47134754229728,763.0112439024389,124.75720706820366,876.3888888888889,390.11028673312734
13007,Osloer Straße,5135,4512,3662,48,179,198,1560,40,636.73036159601,201.24095345610016,467.0,104.74994033411188,601.9903846153846,156.77691126772064,766.978947368421,139.25409035188602,751.7538444444443,132.1268020592607,875.9142857142857,335.57187279156557
13008,Brunnenstraße Nord,6259,5693,4557,61,276,290,2548,58,584.5315581854044,212.28841091953254,444.32,106.1272705341111,563.005376344086,180.64079624557675,686.6273291925465,153.79453907225448,759.331534246575,176.8073697628205,907.3130841121496,455.30071589415513
14009,Parkviertel,7977,6341,5181,69,268,244,2709,60,599.5692208628461,201.14561673008834,486.5769230769231,127.54427853269361,609.9933333333333,186.3393201585121,783.9432624113475,152.49996595079924,802.2036438356162,175.50318989213793,867.3141361256545,366.3993733607062
14010,Wedding Zentrum,8146,7365,5964,89,256,303,3357,52,576.9629912247234,200.43132787877389,444.6142857142857,139.14889250624418,581.2826086956521,184.63599972937223,751.4965034965035,192.04345437418598,769.033640625,221.06923864768163,870.1955555555555,406.81052207755863
21001,Südliche  Friedrichstadt,7295,6469,5089,54,440,385,2907,108,570.3209105110467,184.62640156318602,438.95238095238096,103.87467880398873,569.8020833333334,143.18969312992164,713.152610441767,125.98700971188255,795.3306870229009,136.50903865605858,819.1428571428571,366.16412142989316
22002,Tempelhofer Vorstadt,8163,6958,5550,78,361,329,3074,80,580.0763027295285,194.89854961503988,451.0740740740741,163.21254250867287,545.1286307053942,148.25092765938174,721.6180904522613,147.07760912329965,767.2350555555554,123.66111827234812,820.5504201680673,365.116193833994
23003,Nördliche Luisenstadt,3317,3073,2408,38,113,131,1511,24,541.7082533589252,194.49719340386133,419.0,128.19336356277753,520.4615384615385,131.09784723834295,707.9636363636364,196.00764947623514,640.3952799999997,123.42487400760571,846.3578947368421,416.22536131256595
23004,Südliche Luisenstadt,3487,3195,2462,36,152,140,1458,22,551.7609523809524,205.24796469625656,411.9583333333333,166.36431451764992,556.84,176.0014619103904,743.5692307692308,203.21516992700504,753.4208148148147,153.61898720486676,842.0576923076923,381.7092836463469
24005,Karl-Marx-Allee Nord,3697,2929,2389,34,130,127,1310,31,584.1000471920718,195.3068030153028,463.6923076923077,91.59378547948295,574.6455696202531,120.72781826039498,719.9512195121952,155.34564427760853,805.902153846154,232.55387480228032,932.0340909090909,393.06904569874274
24006,Karl-Marx-Allee Süd,5427,5005,3792,45,250,171,2271,85,557.7108976283398,194.78457847153908,430.35897435897436,82.26769116394782,542.9455782312925,168.8533765472575,727.2451612903226,200.97552160618073,783.4139537037039,174.85734576256345,991.7033898305085,444.6368403736591
25007,Frankfurter Allee Nord,2848,2631,2084,19,107,110,1055,27,603.2424740010947,184.84174810439268,516.7857142857143,123.40812750409081,588.6140350877193,145.23512394758433,712.1296296296297,163.4938168926409,778.2304374999999,195.40570596729415,924.964705882353,334.21081339046304
25008,Frankfurter Allee Süd FK,6298,5781,4464,42,289,227,2220,57,603.281650435674,188.22456376644433,499.46666666666664,166.63665476912237,580.006711409396,183.1974085384212,707.1190476190476,166.76936670427165,797.4786027397264,259.6402006679275,923.0986842105264,450.01400654976567
31001,Buch,2867,2410,1923,19,87,99,717,9,670.2294751009422,238.12367093435495,537.2727272727273,86.96791466867641,734.25,167.18352608839433,822.7173913043479,155.35374158402044,956.2740500000002,170.0491797131131,931.6744186046511,290.58977146897655
