district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
11001,Tiergarten Süd,2528,2009,1314,17,201,111,1115,96,635,79,598.2457399103139,571.0,203.2061654129062,476.46666666666664,457.0,68.56578349779626,613.9512195121952,599.0,132.20377489566314,712.4038461538462,694.5,132.68170882257814,807.65625,779.5,168.86530466149958,844.6333333333333,833.0,288.12678428119926
11002,Regierungsviertel,3151,2760,1744,20,262,125,1506,132,809,113,604.9236387782205,588.0,198.08345202402413,506.1111111111111,513.0,91.41173105878369,630.9030612244898,637.0,127.93714719191799,744.3382352941177,732.0,157.72251717014356,792.8409090909091,781.5,113.7450496898139,937.3333333333334,852.0,353.8985741751623
11003,Alexanderplatz,8491,7146,4534,55,570,276,3946,209,2631,190,562.250380131779,534.0,187.56750445130743,447.0,448.0,117.40229980711621,576.043795620438,560.0,146.15994589689248,690.1985111662531,675.0,144.64833078804574,724.3732057416267,691.0,151.9518029918114,927.6751269035533,830.0,434.57847984395033
11004,Brunnenstraße Süd,1761,1561,1083,14,100,100,958,34,669,31,545.9081419624217,508.0,195.9313581115181,386.3,400.5,64.4671320217606,525.6493506493506,529.0,85.30514364601662,643.081081081081,627.0,129.18572769432055,730.1470588235294,711.0,115.6971313525472,914.8441558441558,726.0,465.13102469075324
12005,Moabit West,3464,3170,2272,27,133,160,2013,37,1187,34,587.0317933432688,561.0,187.25337652627277,458.57894736842104,427.0,117.16053364198565,577.4074074074074,532.0,187.07904597908455,676.2658227848101,673.0,144.12171750977785,706.8918918918919,684.0,185.97412959031934,848.6187050359712,766.0,380.5215032428456
12006,Moabit Ost,5055,4597,2944,37,309,144,2608,145,1725,121,568.3769171779142,532.0,191.33272971468946,476.8666666666667,464.5,115.15708411985999,562.9296875,540.5,140.883163028802,669.1801801801802,650.5,143.04479557833915,751.7655172413793,743.0,146.5578674957582,865.70796460177,799.0,371.98415100204613
13007,Osloer Straße,3305,2940,2155,29,96,135,1908,19,979,15,629.293501048218,593.0,192.01189609762804,457.35,485.5,105.31820205553512,617.6666666666666,585.0,171.90335047567254,756.4905660377359,736.0,137.9457282693102,789.6842105263158,749.0,122.6843522719897,894.7222222222222,770.0,405.1853350791954
13008,Brunnenstraße Nord,3833,3481,2476,27,172,178,2186,33,1452,30,568.3591033851784,527.0,204.0209585678378,435.125,406.5,101.39682769528181,521.9059829059829,508.0,148.79243717490476,686.8163265306123,657.5,201.26375713695194,715.5151515151515,710.0,144.40830161648458,810.9225352112676,615.0,432.0066993495458
14009,Parkviertel,4809,3769,2793,42,166,158,2504,30,1546,24,584.3929712460064,548.0,199.47033070389276,418.6363636363636,409.0,79.90690606176437,575.5619047619048,538.0,181.28117364860012,727.9468085106383,736.0,169.67428423789022,785.6666666666666,736.5,248.8218214919558,874.2403100775193,828.0,370.9931092519145
14010,Wedding Zentrum,4965,4521,3250,46,171,167,2865,27,1876,25,574.9204188481675,534.0,209.75354806820027,437.40625,428.0,99.72311971072058,538.9591836734694,528.5,131.3750371216244,711.0375,694.0,163.2919606065595,710.5555555555555,702.0,118.33340556155254,908.5681818181819,800.0,406.4971234169896
21001,Südliche  Friedrichstadt,4429,3944,2769,34,269,216,2451,69,1635,59,561.031007751938,531.0,184.9302964587764,432.06666666666666,388.0,132.735394893266,557.3117647058823,535.5,146.0082367067574,712.789156626506,693.5,157.20451108651775,748.3333333333334,739.0,123.42640897057868,773.2840909090909,674.5,350.7575295634501
22002,Tempelhofer Vorstadt,5013,4284,2983,33,194,223,2605,47,1675,42,574.6641074856046,545.0,184.24291791299459,444.7916666666667,414.0,112.4714375980067,565.8091603053435,553.0,160.43968981922612,721.1696428571429,716.0,145.07704622169504,769.0425531914893,777.0,119.19967855347825,792.9122807017544,696.0,343.72000989357366
23003,Nördliche Luisenstadt,2102,1961,1303,26,68,72,1123,11,848,9,525.280498664292,490.0,186.11844943974393,388.89473684210526,394.0,80.76226754895583,563.6571428571428,511.0,174.07739030421516,704.9166666666666,637.5,255.05196949417413,705.8181818181819,626.0,190.16614745102143,725.9629629629629,646.5,277.75480995192964
23004,Südliche Luisenstadt,2197,2010,1291,17,97,89,1123,9,795,7,544.9465716829919,497.0,198.43819063613248,410.42857142857144,390.5,76.16249257164102,537.8125,502.0,163.00589419574123,646.7948717948718,658.0,204.99078021464635,768.8888888888889,770.0,142.7913201532611,881.5223880597015,750.0,442.6370138232138
24005,Karl-Marx-Allee Nord,2148,1758,1299,29,79,79,1166,19,783,18,555.6801029159519,541.0,168.9701542541136,489.5652173913044,458.0,126.93084233226321,601.1764705882352,571.0,168.4132662093284,706.4186046511628,672.0,185.86160142353484,715.3157894736842,723.0,107.44613773710007,901.0169491525423,798.0,402.0160183601121
