planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
1100101,Stülerstraße,494,333,246,3,37,13,208,21,130,19,589.7115384615385,568.0,181.68216517199224,423.3333333333333,415.0,22.678918257565396,566.0714285714286,549.0,120.65252482244931,680.6666666666666,659.5,133.52342770887228,745.0866666666665,709.49,129.43615597634746,839.5833333333334,780.5,240.55294572498937
1100102,Großer Tiergarten,1284,1066,639,10,138,66,539,76,278,59,619.5417439703155,590.0,213.9337258439129,635.5,622.0,181.56183519671748,633.3962264150944,615.5,134.54329657136802,737.1818181818181,722.0,140.7466506388278,838.2951184210525,790.5615,172.75336122360238,818.9166666666666,785.0,320.9910075848771
1100103,Lützowstraße,819,626,431,8,45,35,379,13,226,11,585.6385224274406,558.0,204.36459455298447,461.125,475.5,74.70979568589765,588.1428571428571,574.0,143.46984574695637,655.3030303030303,666.0,107.23032594854081,834.703923076923,742.06,347.35012648154253,791.3333333333334,779.0,293.18069435116274
1100104,Körnerstraße,331,290,197,2,22,19,160,2,96,2,570.1,548.0,187.7483328234566,442.5,442.5,20.506096654409877,623.3529411764706,637.0,56.869303205321785,732.6315789473684,725.0,104.62536898982631,696.865,696.865,37.79910009510814,958.5294117647059,959.0,157.78669052199032
1100205,Wilhelmstraße,670,577,381,5,61,32,319,28,180,23,602.1379310344828,576.0,196.3426277100397,487.75,482.5,93.74922221899585,633.8913043478261,649.5,97.0988564438599,771.9591836734694,740.0,166.5931870335231,802.8628571428571,800.325,92.75575266205733,915.0,855.0,333.58507160842794
1100206,Unter den Linden,1849,1644,935,4,154,46,801,83,449,70,596.0137328339575,580.0,195.97248802108297,515.6666666666666,516.0,31.501322723551347,635.4444444444445,649.0,137.25633233582897,749.2734375,745.5,146.84475249773843,796.4682409638549,777.973,126.36457076211057,994.6129032258065,1018.0,357.95778870507013
1100207,Leipziger Straße,1071,922,662,12,87,62,592,37,310,34,607.9256756756756,591.5,187.4120424475574,516.6666666666666,535.5,103.33030298586912,619.1016949152543,617.0,134.61038220389145,724.542372881356,702.0,196.50570949272154,775.4990810810812,763.097,88.0470976328952,918.425,822.5,347.69732545448943
1100308,Charitéviertel,1511,889,568,6,111,37,492,50,337,43,535.5243902439024,501.0,213.40073844214288,478.8,448.0,162.3874995188977,538.7441860465116,539.5,124.63501406308801,709.6823529411764,702.0,162.98387385644907,759.6379,721.078,208.67019215413316,928.5384615384615,836.0,403.9890326005626
1100309,Oranienburger Straße,1606,1288,785,7,164,65,670,53,423,49,561.2029850746269,543.0,191.24503723263885,415.3333333333333,439.0,86.95017730478376,575.0884955752213,566.0,123.57173722767881,679.7358490566038,672.5,113.57307711540935,722.3223207547171,682.756,123.00138495104801,944.1136363636364,780.5,477.1277541321753
1100310,Alexanderplatzviertel,3601,3276,1867,21,217,107,1585,89,1087,82,554.9514195583596,526.0,183.86417853554775,425.875,419.5,100.29946826047151,614.0065789473684,605.0,167.81563112280702,702.2025316455696,685.5,138.09946380916176,724.5985617977531,697.91,120.596495503785,863.1805555555555,788.5,392.95150137579293
1100311,Karl-Marx-Allee,1112,1017,668,11,57,38,590,9,385,6,576.193220338983,534.0,207.77933301294152,415.55555555555554,394.0,160.8004284129174,585.5757575757576,541.0,215.00349274823282,659.9166666666666,654.0,188.0143421580993,789.8891111111111,722.82,208.64975581728132,808.09375,730.5,404.8305387701966
1100312,Heine-Viertel West,963,888,692,10,48,27,631,16,380,14,589.4690966719493,565.0,175.4836090902551,494.8888888888889,496.0,63.117835126936285,607.7567567567568,586.0,165.20263742268585,714.8529411764706,710.0,137.0839451627738,729.7158750000001,698.7529999999999,193.44252141170165,1003.5217391304348,909.0,474.27340308050714
1100313,Heine-Viertel Ost,871,797,599,9,45,28,540,19,408,17,544.0981481481482,525.0,156.901040613915,415.5,423.0,68.96593361943272,547.7142857142857,549.0,83.30474579679662,680.3939393939394,600.0,208.43718169300126,684.4063684210527,604.7629999999999,163.68957231065636,979.8181818181819,856.0,443.9782959478169
1100414,Nordbahnhof,325,282,201,3,27,16,186,5,140,4,513.0645161290323,485.0,183.42010891859857,376.0,376.0,28.284271247461902,506.5,504.5,84.483726243579,636.8181818181819,649.0,99.32948364079176,828.6827999999999,858.56,75.38855827776521,1113.6666666666667,1225.5,540.4581109549284
1100415,Invalidenstraße,903,804,544,7,51,48,478,20,319,18,553.8326359832636,521.5,196.57067591777997,355.8,391.0,82.49060552572033,528.1538461538462,529.0,88.47822761071566,635.6315789473684,605.0,123.00217995269523,715.4102500000001,682.2829999999999,128.68074674246094,889.2820512820513,710.0,446.5027228488881
1100416,Arkonaplatz,731,652,453,7,30,49,397,9,279,9,548.9445843828715,506.0,200.47940510398954,408.8333333333333,410.0,38.48852642888094,531.5714285714286,541.0,82.46245899108966,681.0,601.5,188.3113816809495,709.7602222222223,693.193,77.53100509276561,897.1891891891892,747.0,453.8196434364304
1200517,Huttenkiez,601,514,349,4,35,52,305,9,157,8,609.3770491803278,587.0,186.17312648220405,406.0,406.0,,651.6666666666666,599.5,163.35922163782996,736.625,651.0,201.80316317309467,817.5808888888888,738.294,285.53157003974377,954.9756097560976,919.0,388.83945837613226
1200518,Beusselkiez,460,439,330,8,13,8,303,3,187,3,593.2046204620463,553.0,197.62645640189822,487.125,441.5,151.44960265004707,602.7,518.5,263.72378226723,765.0,723.0,187.7292883763365,604.6456666666667,629.31,79.18191565208136,821.25,835.0,252.90752121222945
1200519,Emdener Straße,643,597,444,2,18,28,400,5,220,5,603.425,579.5,172.21585329264346,361.0,361.0,,566.9,559.0,135.4420335215196,703.1538461538462,677.0,154.09133987879082,692.5326,722.447,151.85321606011513,797.6153846153846,669.5,329.6940493151888
1200520,Bremer Straße,824,743,529,8,42,39,457,16,278,14,590.0065645514223,563.0,175.14856463486717,519.4,519.0,93.77792917312688,581.3793103448276,575.0,196.33561168008492,697.3703703703703,700.0,129.74090990779936,696.0891249999999,686.5930000000001,141.43259722703016,934.0285714285715,879.0,411.63136604564653
1200521,Zwinglistraße,454,428,312,2,15,10,270,4,174,4,561.3407407407408,535.0,194.15500506557723,600.0,600.0,,473.55555555555554,446.0,112.40119117597366,595.3636363636364,634.0,124.52170311015885,645.59025,651.3254999999999,50.24574869163892,676.875,599.5,331.7776525239241
1200522,Elberfelder Straße,975,908,642,13,34,33,561,6,345,6,567.1639928698752,541.0,194.31569909674596,397.0,374.0,61.16643959994184,516.7894736842105,523.0,109.04819472109487,605.8181818181819,607.5,166.66037217551045,659.2661666666667,629.9465,97.21313324323347,707.5172413793103,549.0,375.4663405771601
1200623,Stephankiez,830,760,500,2,33,33,453,10,260,9,603.644591611479,574.0,177.51273031283773,511.5,511.5,3.5355339059327378,589.448275862069,533.0,149.70413349739846,638.1304347826087,608.0,129.61036166064184,683.5274999999999,655.554,167.37209514216454,1012.9629629629629,1037.0,307.2407576980684
1200624,Heidestraße,522,429,271,5,65,27,229,22,153,15,571.8733624454148,528.0,189.39383138390744,452.75,437.0,120.9913908783045,546.75,525.0,140.07494747131233,705.3333333333334,689.0,145.65148337702942,847.1848181818183,756.7715000000001,417.2473281922659,840.0,728.0,451.2355260836629
1200625,Lübecker Straße,713,653,461,8,34,26,422,15,261,15,580.5071090047394,557.5,181.29964618570472,479.14285714285717,478.0,121.19464863244934,512.2666666666667,498.0,87.08178214534423,643.2333333333333,616.5,132.95233352034762,640.6802,603.5799999999999,101.81838086037597,903.0,799.0,341.3279621973239
1200626,Thomasiusstraße,525,484,350,2,22,19,317,1,209,1,575.0473186119874,533.0,200.25812686159964,533.5,533.5,55.86143571373726,537.8571428571429,549.5,126.2079219401047,701.8888888888889,651.0,160.17134922048672,810.163,810.163,,805.4,616.0,333.0891772483759
1200627,Zillesiedlung,560,535,336,8,14,11,305,3,194,3,578.7049180327868,545.0,170.00951446500903,469.85714285714283,436.0,116.30911195520979,551.1666666666666,552.0,80.74069981156103,630.1428571428571,650.0,81.45843228589777,636.997,647.343,73.86543296427634,891.8333333333334,857.5,398.42209610746573
1200628,Lüneburger Straße,2029,1840,1035,8,158,31,874,103,656,82,526.0183066361556,473.0,200.58285547278186,398.75,411.5,102.34704034150995,577.8421052631579,574.0,151.0165474630363,672.4453781512605,668.0,154.44129472583776,814.6512038834951,770.42,299.9526184190076,777.1428571428571,627.5,373.9936337629801
1200629,Hansaviertel,547,497,347,6,30,20,315,13,192,12,592.0603174603175,555.0,201.20230853964463,541.75,493.5,167.36661355638805,559.3333333333334,548.0,144.1943133414075,640.7894736842105,623.0,111.78728756356293,662.1591538461539,638.903,119.49344824357958,867.5882352941177,884.0,394.1790612817241
1300730,Drontheimer Straße,1031,820,592,12,32,29,519,10,297,9,605.9229287090559,570.0,189.7841433723482,461.8,464.5,61.01511652405856,601.5454545454545,567.5,132.80803449330173,767.25,732.0,121.51515680495717,748.8747,731.7635,84.61531555490149,839.7272727272727,788.5,279.9336965405817
1300731,Koloniestraße,705,646,496,6,27,31,438,7,184,6,653.8949771689498,636.0,174.98011112184886,393.6666666666667,311.0,166.2087041443177,683.9411764705883,627.0,212.5360177088331,780.9090909090909,754.0,107.26554015104806,783.5201428571429,746.314,131.90033991417982,914.6666666666666,767.5,440.9613828630242
1300732,Soldiner Straße,808,764,594,8,16,28,539,1,254,1,641.6975881261595,612.0,194.25678454019808,453.125,450.5,120.85462045662254,608.0,657.0,207.92718505696723,771.0,767.0,133.06840346227952,681.543,681.543,,891.8461538461538,744.0,416.246531979085
