district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
11001,Tiergarten Süd,2203,1766,1254,13,172,113,1103,102,651,93,608.8,588.0,200.43,434.56,436.0,166.4,621.87,601.0,160.62,708.06,686.0,161.84,760.53,736.67,144.99,841.9,748.5,354.55
11002,Regierungsviertel,2866,2472,1675,16,271,119,1502,154,910,136,600.72,578.0,188.94,435.69,440.0,97.68,570.01,547.0,157.14,724.63,703.0,131.34,757.2,717.14,209.56,889.45,792.0,400.26
11003,Alexanderplatz,8096,6752,4761,40,546,274,4277,320,2845,299,577.08,543.0,201.89,415.28,421.5,69.07,538.17,524.0,151.29,683.08,664.5,138.08,702.92,684.68,132.54,816.78,684.0,415.8
11004,Brunnenstraße Süd,1638,1468,1019,8,93,77,922,45,624,40,567.64,534.0,197.5,402.67,419.0,63.27,503.66,497.5,114.06,635.74,623.0,117.91,695.45,650.97,137.36,919.49,702.0,482.03
12005,Moabit West,3415,3094,2309,22,167,154,2019,56,1239,46,603.76,577.0,195.92,474.59,480.0,105.82,565.23,540.0,176.8,707.27,677.0,186.09,758.23,715.96,166.22,862.54,875.0,337.27
12006,Moabit Ost,5142,4666,3371,31,294,179,3013,155,1861,137,602.86,560.0,210.86,441.32,430.0,88.57,546.43,515.0,146.88,675.36,661.0,157.84,727.5,711.4,152.42,860.48,721.0,398.88
13007,Osloer Straße,2997,2665,1983,29,102,120,1762,31,950,30,639.45,605.5,204.31,460.78,441.0,114.62,566.87,544.5,172.64,715.58,730.0,117.05,705.41,702.0,106.82,920.03,796.0,394.74
13008,Brunnenstraße Nord,3650,3324,2420,29,159,165,2176,29,1463,26,583.77,539.0,208.48,431.91,434.0,80.38,557.67,525.0,198.16,756.6,681.0,236.78,703.21,686.78,150.58,888.82,660.0,463.3
14009,Parkviertel,4561,3663,2731,29,154,155,2453,43,1594,37,586.29,552.0,189.67,409.88,399.0,78.1,580.77,548.5,163.54,746.04,750.0,141.58,750.72,736.42,145.79,919.55,900.5,415.34
14010,Wedding Zentrum,4705,4256,3141,49,160,172,2800,25,1914,25,578.37,536.0,202.78,433.59,413.0,112.26,551.56,516.0,174.38,712.69,700.0,131.39,698.09,685.22,108.93,819.01,721.0,361.79
21001,Südliche  Friedrichstadt,4314,3834,2800,32,292,184,2503,98,1839,83,555.35,520.0,187.42,395.8,372.0,90.98,550.53,523.5,159.31,728.07,689.5,197.22,733.73,713.54,175.88,799.85,717.0,368.61
22002,Tempelhofer Vorstadt,4939,4240,3029,22,229,196,2696,80,1832,72,573.24,540.0,193.94,400.62,416.5,91.39,590.99,555.5,157.87,724.49,699.0,174.71,746.03,744.27,111.0,776.14,678.0,336.04
23003,Nördliche Luisenstadt,2057,1906,1342,23,85,64,1189,27,941,23,514.87,474.0,182.98,369.05,366.0,57.16,555.07,469.0,218.63,733.57,676.0,199.12,682.07,658.31,191.56,703.86,590.0,344.93
23004,Südliche Luisenstadt,2132,1955,1388,20,91,86,1205,21,881,19,546.06,501.0,205.78,408.25,367.5,85.7,487.9,478.0,138.11,692.77,644.0,246.88,710.12,652.72,170.03,733.85,658.0,332.31
24005,Karl-Marx-Allee Nord,2195,1827,1340,18,86,64,1215,31,813,27,576.44,547.0,200.14,431.41,437.0,60.81,572.06,518.5,205.85,737.72,692.0,210.81,742.36,699.69,210.83,952.17,912.0,429.94
24006,Karl-Marx-Allee Süd,3389,3088,2173,12,201,99,1969,102,1476,93,539.64,506.0,198.68,392.1,340.5,127.23,558.48,497.5,215.2,642.97,590.0,185.51,684.62,658.35,153.98,756.28,576.0,408.4
25007,Frankfurter Allee Nord,1720,1565,1145,12,82,73,1032,12,639,11,608.05,579.0,199.4,477.0,464.5,97.28,654.67,581.0,289.84,822.0,726.0,347.54,714.47,679.43,120.09,959.69,800.0,406.23
25008,Frankfurter Allee Süd FK,3860,3520,2489,23,195,143,2209,55,1407,44,597.5,560.0,199.6,430.81,435.0,77.54,564.67,532.0,179.05,697.3,673.5,220.38,765.74,726.56,193.33,875.53,772.5,405.29
31001,Buch,1657,1350,996,10,85,64,832,26,468,10,654.24,596.5,223.12,601.6,581.0,126.15,745.84,732.0,146.71,904.03,840.5,208.35,1003.14,934.13,226.56,995.79,926.0,289.07
32002,Blankenfelde/Niederschönhausen,1737,1624,1225,6,45,67,1069,9,394,7,720.75,680.0,215.52,585.4,537.0,196.99,590.38,567.0,246.22,940.38,855.0,390.58,753.95,767.34,177.59,916.97,866.0,349.38
32003,Buchholz,995,940,698,9,23,32,621,3,243,3,692.11,663.0,192.8,465.75,420.0,137.91,544.87,532.0,121.57,717.67,699.0,66.98,856.91,869.1,44.66,1017.77,858.0,461.62
33004,Karow,961,917,702,11,18,25,584,1,360,1,617.65,582.0,189.48,613.0,663.0,89.59,731.33,704.5,130.94,761.33,782.0,123.31,872.59,872.59,,909.0,826.0,313.2
33005,Blankenburg/Heinersdorf/Märchenland,1380,1282,966,24,43,55,866,13,425,10,655.13,627.5,190.92,472.95,481.0,77.18,606.92,599.0,100.09,725.77,717.0,171.74,787.46,789.8,120.64,918.26,776.0,347.66
34006,Schönholz/Wilhelmsruh/Rosenthal,1254,1176,878,12,30,47,753,9,299,5,686.34,669.0,205.46,564.57,532.0,114.09,748.48,628.0,294.78,986.5,983.5,121.32,1065.41,815.89,540.74,797.96,736.0,345.91
34007,Pankow Zentrum,2680,2361,1764,27,69,80,1581,18,848,12,650.27,608.0,216.68,471.69,455.5,104.41,635.56,569.0,297.28,856.58,812.0,308.87,858.71,805.29,260.41,851.98,730.0,415.6
34008,Pankow Süd,2211,2042,1481,23,81,87,1336,24,667,23,651.18,625.0,200.88,468.55,477.5,99.74,671.75,621.0,292.9,766.16,721.0,230.4,709.15,707.86,94.5,953.08,889.0,424.8
35009,Weißensee,2547,2246,1643,17,77,79,1494,16,872,14,615.03,577.0,204.3,474.19,464.0,157.68,617.05,547.0,246.28,762.6,733.0,211.14,755.84,731.23,125.87,756.34,678.0,316.6
35010,Weißensee Ost,1465,1344,977,19,55,30,893,17,503,6,631.11,599.0,185.59,452.07,433.5,81.45,635.66,576.0,172.1,668.88,664.0,201.01,978.99,954.94,178.8,670.95,572.5,288.68
36011,Prenzlauer Berg Nordwest,1503,1344,956,7,79,80,849,11,453,10,637.45,613.0,208.22,479.25,513.5,87.52,661.49,612.0,160.15,753.18,661.0,268.37,735.85,660.76,203.45,774.28,647.0,373.38
36012,Prenzlauer Berg Nord,1554,1428,1071,19,60,66,979,6,578,6,610.05,586.0,191.37,427.41,447.0,116.49,588.89,581.0,141.71,685.5,653.0,143.47,690.35,701.47,94.05,1047.63,1025.5,429.84
36013,Helmholtzplatz,913,806,553,1,46,61,494,6,290,4,622.69,593.0,195.95,631.0,631.0,,581.43,551.5,128.46,831.75,801.5,395.38,1987.2,876.99,2874.31,796.98,649.5,417.97
36014,Prenzlauer Berg Ost,2531,2327,1745,35,116,88,1560,34,833,32,626.87,605.0,183.92,467.64,459.0,108.5,643.51,633.0,154.14,737.65,737.0,75.5,800.1,757.38,219.01,906.07,883.0,305.02
