planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
01100101,Stülerstraße,158,95,56,0,11,7,50,6,38,5,584.68,535.5,198.62,,,,586.0909090909091,563.0,82.44,576.6666666666666,578.5,64.19,758.5445,711.1365000000001,194.55,982.2,1167.0,580.13
01100102,Großer Tiergarten,380,304,141,4,49,27,127,35,83,30,596.5275590551181,583.0,166.6,524.3333333333334,487.0,78.01,635.4473684210526,609.0,144.72,717.8,706.0,100.82,788.456657142857,768.474,162.48,815.0,777.0,233.56
01100103,Lützowstraße,315,247,138,4,15,6,123,9,95,6,553.7235772357724,548.0,154.9,532.3333333333334,523.0,26.27,679.6363636363636,656.0,260.26,775.4444444444445,769.0,142.06,815.003,798.08,144.05,892.25,925.0,443.86
01100104,Körnerstraße,157,145,77,0,4,8,67,1,52,1,553.8507462686567,548.0,139.98,,,,730.0,607.0,218.26,740.0,740.0,,697.633,697.633,,1116.8333333333333,1044.0,219.89
01100205,Wilhelmstraße,255,218,91,3,27,10,80,6,65,6,577.8,553.5,169.58,430.3333333333333,466.0,99.42,587.7272727272727,593.0,63.61,721.2857142857143,734.0,74.17,743.1961666666666,741.665,71.0,802.2222222222222,704.0,252.59
01100206,Unter den Linden,555,480,215,1,46,29,194,29,151,25,562.6082474226804,551.0,147.68,,,,549.2666666666667,546.5,77.05,723.0909090909091,712.0,139.49,749.702275862069,746.33,136.1,964.5263157894736,902.0,484.69
01100207,Leipziger Straße,369,320,182,1,36,13,162,23,130,23,574.895061728395,549.0,178.46,543.0,543.0,,528.25,527.5,79.64,683.8333333333334,686.5,113.54,712.9878260869567,688.03,83.88,828.0,664.0,375.82
01100308,Charitéviertel,544,312,144,3,50,19,132,18,109,16,533.3181818181819,511.5,161.11,384.3333333333333,422.0,116.17,541.7619047619048,554.0,114.37,654.0526315789474,663.0,118.24,716.6542777777776,683.5515,150.82,657.0,650.5,324.31
01100309,Oranienburger Straße,532,405,207,1,51,32,191,26,143,23,576.3874345549738,555.0,188.35,,,,521.5641025641025,528.0,107.78,651.8387096774194,615.0,161.13,729.256846153846,685.7629999999999,186.84,1041.7894736842106,996.0,473.57
01100310,Alexanderplatzviertel,1152,1057,491,9,62,32,428,36,333,35,548.6985981308411,509.5,185.86,467.2857142857143,454.0,59.22,519.6730769230769,484.0,166.27,672.3658536585366,623.0,176.65,668.3544999999999,680.933,110.81,711.8095238095239,617.0,354.83
