wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
1100,562,79,299.0,91.0,198.0,70.0,,,,,Mitte,2026-01-01,2026-03-31
1110,132,82,,,,,,,,,Mitte,2026-01-01,2026-03-31
1200,457,70,335.0,73.0,183.0,78.0,57.0,80.0,170.0,56.0,Friedrichshain,2026-01-01,2026-03-31
1204,202,83,,,,,,,,,Am Friedrichshain,2026-01-01,2026-03-31
1300,432,86,,,205.0,63.0,92.0,100.0,,,Prenzlauer Berg,2026-01-01,2026-03-31
1310,192,118,,,,,,,,,Schieritz/Prenzlauer Berg,2026-01-01,2026-03-31
1400,297,86,,,165.0,71.0,67.0,96.0,,,Moabit,2026-01-01,2026-03-31
1500,643,69,323.0,82.0,189.0,81.0,,,34.0,78.0,Urban,2026-01-01,2026-03-31
1600,638,76,165.0,77.0,192.0,104.0,80.0,134.0,,,Kreuzberg,2026-01-01,2026-03-31
1700,301,67,,,181.0,73.0,50.0,110.0,,,Tiergarten,2026-01-01,2026-03-31
2100,465,74,337.0,67.0,143.0,75.0,42.0,80.0,,,Schillerpark,2026-01-01,2026-03-31
2200,545,70,335.0,86.0,150.0,85.0,29.0,136.0,87.0,102.0,Wittenau,2026-01-01,2026-03-31
2300,286,86,,,85.0,83.0,,,,,Hermsdorf,2026-01-01,2026-03-31
2320,84,85,,,,,,,,,Frohnau,2026-01-01,2026-03-31
2400,401,64,,,111.0,77.0,24.0,103.0,,,Tegel,2026-01-01,2026-03-31
2420,93,113,,,,,,,,,Tegelort,2026-01-01,2026-03-31
2500,502,63,,,272.0,74.0,,,,,Wedding,2026-01-01,2026-03-31
2600,346,90,278.0,71.0,142.0,105.0,7.0,155.0,106.0,87.0,Pankow,2026-01-01,2026-03-31
2604,161,68,,,,,,,,,Pankow Mitte,2026-01-01,2026-03-31
2630,133,83,,,,,,,,,Blankenfelde,2026-01-01,2026-03-31
2640,136,105,,,,,,,,,Wilhelmsruh,2026-01-01,2026-03-31
2704,103,80,,,,,,,,,Buch,2026-01-01,2026-03-31
2720,141,88,,,,,,,,,Karow,2026-01-01,2026-03-31
3100,405,74,310.0,76.0,220.0,71.0,33.0,112.0,73.0,98.0,Spandau-Nord,2026-01-01,2026-03-31
3103,86,94,,,,,,,,,Lynar,2026-01-01,2026-03-31
3104,115,68,,,,,,,,,Falkenhagener Feld,2026-01-01,2026-03-31
3110,174,86,,,,,,,,,Staaken,2026-01-01,2026-03-31
3200,531,77,140.0,73.0,189.0,77.0,25.0,122.0,,,Spandau-Süd,2026-01-01,2026-03-31
3220,80,79,,,,,,,,,Kladow,2026-01-01,2026-03-31
3300,516,69,367.0,62.0,330.0,75.0,39.0,89.0,155.0,78.0,Suarez,2026-01-01,2026-03-31
3304,169,115,,,,,,,,,Westend,2026-01-01,2026-03-31
3400,352,68,311.0,80.0,189.0,84.0,,,,,Wilmersdorf,2026-01-01,2026-03-31
3404,145,120,,,,,,,,,Schmargendorf,2026-01-01,2026-03-31
3490,116,98,,,,,,,,,Friedenau,2026-01-01,2026-03-31
3500,478,79,,,183.0,107.0,66.0,137.0,85.0,124.0,Ranke,2026-01-01,2026-03-31
