,wache_nummer,anzahl_alarmierungen_RTW,mittlere_ausrueckedauer_RTW,anzahl_alarmierungen_NEF,mittlere_ausrueckedauer_NEF,anzahl_alarmierungen_LHF,mittlere_ausrueckedauer_LHF,anzahl_alarmierungen_DLK,mittlere_ausrueckedauer_DLK,anzahl_alarmierungen_ELW,mittlere_ausrueckedauer_ELW,wache_name,start_date,end_date
0,1100,431,71,229.0,71.0,177.0,77.0,,,,,Mitte,2026-03-29,2026-04-28
1,1200,452,69,250.0,73.0,148.0,76.0,43.0,79.0,161.0,49.0,Friedrichshain,2026-03-29,2026-04-28
2,1204,213,63,,,,,,,,,Am Friedrichshain,2026-03-29,2026-04-28
3,1300,370,83,,,173.0,72.0,68.0,100.0,,,Prenzlauer Berg,2026-03-29,2026-04-28
4,1310,158,115,,,,,,,,,Schieritz/Prenzlauer Berg,2026-03-29,2026-04-28
5,1400,233,60,,,116.0,61.0,50.0,92.0,,,Moabit,2026-03-29,2026-04-28
6,1500,580,69,254.0,74.0,115.0,55.0,,,26.0,105.0,Urban,2026-03-29,2026-04-28
7,1600,516,81,150.0,77.0,149.0,83.0,69.0,115.0,,,Kreuzberg,2026-03-29,2026-04-28
8,1700,234,62,,,101.0,77.0,34.0,102.0,,,Tiergarten,2026-03-29,2026-04-28
9,2100,408,70,268.0,63.0,106.0,78.0,40.0,72.0,,,Schillerpark,2026-03-29,2026-04-28
10,2200,456,72,285.0,90.0,112.0,95.0,20.0,119.0,73.0,105.0,Wittenau,2026-03-29,2026-04-28
11,2300,226,84,,,64.0,80.0,,,,,Hermsdorf,2026-03-29,2026-04-28
12,2320,53,82,,,,,,,,,Frohnau,2026-03-29,2026-04-28
13,2400,312,57,,,93.0,71.0,14.0,88.0,,,Tegel,2026-03-29,2026-04-28
14,2402,67,114,,,,,,,,,Konradshöhe,2026-03-29,2026-04-28
15,2500,399,59,,,239.0,64.0,,,,,Wedding,2026-03-29,2026-04-28
16,2600,287,93,203.0,77.0,98.0,119.0,14.0,99.0,79.0,103.0,Pankow,2026-03-29,2026-04-28
17,2604,123,72,,,,,,,,,Pankow Mitte,2026-03-29,2026-04-28
18,2630,90,76,,,,,,,,,Blankenfelde,2026-03-29,2026-04-28
19,2640,126,105,,,,,,,,,Wilhelmsruh,2026-03-29,2026-04-28
20,2704,84,80,,,,,,,,,Buch,2026-03-29,2026-04-28
21,2720,89,80,,,,,,,,,Karow,2026-03-29,2026-04-28
22,3100,311,75,224.0,72.0,150.0,82.0,17.0,91.0,56.0,88.0,Spandau-Nord,2026-03-29,2026-04-28
23,3103,78,75,,,,,,,,,Lynar,2026-03-29,2026-04-28
24,3104,80,81,,,,,,,,,Falkenhagener Feld,2026-03-29,2026-04-28
25,3110,143,82,,,,,,,,,Staaken,2026-03-29,2026-04-28
26,3200,391,72,111.0,67.0,125.0,71.0,30.0,105.0,,,Spandau-Süd,2026-03-29,2026-04-28
27,3220,57,91,,,,,,,,,Kladow,2026-03-29,2026-04-28
28,3300,394,78,295.0,53.0,247.0,77.0,24.0,89.0,129.0,86.0,Suarez,2026-03-29,2026-04-28
29,3304,129,118,,,,,,,,,Westend,2026-03-29,2026-04-28
30,3400,278,63,252.0,80.0,152.0,59.0,,,,,Wilmersdorf,2026-03-29,2026-04-28
31,3404,115,110,,,,,,,,,Schmargendorf,2026-03-29,2026-04-28
32,3490,111,92,,,,,,,,,Friedenau,2026-03-29,2026-04-28
33,3500,355,70,,,125.0,85.0,43.0,119.0,91.0,114.0,Ranke,2026-03-29,2026-04-28
34,3503,57,97,,,,,,,,,Budapester,2026-03-29,2026-04-28
35,3504,128,61,,,,,,,,,Tiergarten-Süd,2026-03-29,2026-04-28
36,3608,80,85,,,57.0,95.0,8.0,82.0,19.0,90.0,TXL/Charlottenburg Nord,2026-03-29,2026-04-28
37,3690,154,65,,,,,,,,,Siemensstadt,2026-03-29,2026-04-28
38,4100,364,98,178.0,108.0,93.0,99.0,8.0,111.0,35.0,111.0,Zehlendorf,2026-03-29,2026-04-28
39,4200,285,83,,,111.0,76.0,18.0,102.0,,,Steglitz,2026-03-29,2026-04-28
40,4300,350,62,91.0,65.0,130.0,88.0,23.0,122.0,144.0,95.0,Tempelhof,2026-03-29,2026-04-28
41,4390,185,67,,,,,,,,,Mariendorf,2026-03-29,2026-04-28
42,4400,419,63,282.0,66.0,180.0,77.0,26.0,98.0,,,Schöneberg,2026-03-29,2026-04-28
43,4500,146,75,,,33.0,85.0,,,,,Wannsee,2026-03-29,2026-04-28
44,4600,257,53,,,101.0,88.0,13.0,155.0,,,Lichterfelde,2026-03-29,2026-04-28
45,4604,167,86,,,,,,,,,Lankwitz,2026-03-29,2026-04-28
46,4700,277,82,235.0,82.0,107.0,114.0,17.0,153.0,,,Marienfelde,2026-03-29,2026-04-28
47,4710,187,77,,,,,,,,,Lichtenrade,2026-03-29,2026-04-28
48,4790,108,74,,,,,,,,,Marienfelde-Süd,2026-03-29,2026-04-28
49,5100,500,71,275.0,64.0,196.0,85.0,54.0,103.0,,,Neukölln,2026-03-29,2026-04-28
50,5200,376,70,257.0,65.0,199.0,83.0,5.0,117.0,,,Buckow,2026-03-29,2026-04-28
51,5210,142,79,,,,,,,,,Rudow,2026-03-29,2026-04-28
52,5300,388,75,220.0,77.0,135.0,85.0,28.0,91.0,65.0,81.0,Treptow,2026-03-29,2026-04-28
53,5304,129,85,,,,,,,,,Bohnsdorf,2026-03-29,2026-04-28
54,5330,112,89,,,,,,,,,Altglienicke,2026-03-29,2026-04-28
55,5390,79,62,,,,,,,,,Adlershof,2026-03-29,2026-04-28
56,5400,368,88,187.0,94.0,92.0,94.0,13.0,100.0,,,Köpenick,2026-03-29,2026-04-28
57,5404,100,99,,,,,,,,,Salvador-Allende,2026-03-29,2026-04-28
58,5410,99,63,,,,,,,,,Friedrichshagen,2026-03-29,2026-04-28
59,5490,37,72,,,,,,,,,Rahnsdorf,2026-03-29,2026-04-28
